Kabupaten_Kota,2024,2025,Prediksi_2026,Tumbuh_2024_2025,Tumbuh_2025_2026
Banggai Kepulauan,240952.0,226812.0,155307.62274179142,-5.87,-31.53
Banggai,574963.0,646876.0,571047.7473123256,12.51,-11.72
Morowali,970157.0,1101831.0,902854.7560852475,13.57,-18.06
Poso,795650.0,969115.0,843376.6638476076,21.8,-12.97
Donggala,937909.0,1191305.0,1303609.5650928104,27.02,9.43
Tolitoli,344694.0,374207.0,270020.27528786816,8.56,-27.84
Buol,171086.0,199688.0,113978.07499319248,16.72,-42.92
Parigi Moutong,805302.0,1056034.0,1125476.7736260989,31.14,6.58
Tojo Una-una,272897.0,350417.0,275114.2199010799,28.41,-21.49
Sigi,967059.0,1270074.0,1367742.587786611,31.33,7.69
Banggai Laut,152065.0,151710.0,72199.10629517815,-0.23,-52.41
Morowali Utara,533494.0,604682.0,475815.5170600965,13.34,-21.31
Kota Palu,2562993.0,3526182.0,3277544.2104036147,37.58,-7.05
